receipt_id,po_id,receipt_week,item_id,location_id,supplier_id,qty_received
RCPT0000043,PO0000042,2024-12-13,SKU001,NCR_WH,SUP01,95
RCPT0000044,PO0000043,2024-12-20,SKU001,NCR_WH,SUP04,117
RCPT0000045,PO0000045,2025-04-25,SKU001,NCR_WH,SUP01,109
RCPT0000046,PO0000046,2025-04-25,SKU001,NCR_WH,SUP02,130
RCPT0000047,PO0000047,2025-05-02,SKU001,NCR_WH,SUP02,147
RCPT0000048,PO0000048,2025-05-02,SKU001,NCR_WH,SUP02,161
RCPT0000049,PO0000049,2024-04-05,SKU001,BOM_WH,SUP02,100
RCPT0000050,PO0000050,2024-06-07,SKU001,BOM_WH,SUP02,96
RCPT0000051,PO0000052,2024-09-27,SKU001,BOM_WH,SUP04,101
RCPT0000052,PO0000051,2024-10-04,SKU001,BOM_WH,SUP01,93
RCPT0000053,PO0000053,2024-10-04,SKU001,BOM_WH,SUP01,106
RCPT0000054,PO0000054,2024-10-11,SKU001,BOM_WH,SUP01,113
RCPT0000055,PO0000055,2022-12-23,SKU002,BLR_WH,SUP09,268
RCPT0000056,PO0000056,2022-12-23,SKU002,BLR_WH,SUP09,268
RCPT0000057,PO0000057,2025-11-14,SKU002,BLR_WH,SUP10,221
RCPT0000058,PO0000058,2025-11-21,SKU002,BLR_WH,SUP10,225
RCPT0000059,PO0000059,2025-11-28,SKU002,BLR_WH,SUP10,230
RCPT0000060,PO0000060,2022-12-30,SKU002,MAA_WH,SUP10,252
RCPT0000061,PO0000061,2023-01-06,SKU002,MAA_WH,SUP10,252
RCPT0000062,PO0000062,2023-01-06,SKU002,MAA_WH,SUP10,252
RCPT0000063,PO0000063,2025-08-01,SKU002,MAA_WH,SUP10,220
RCPT0000064,PO0000064,2025-08-01,SKU002,MAA_WH,SUP10,233
RCPT0000065,PO0000065,2025-08-08,SKU002,MAA_WH,SUP10,243
RCPT0000066,PO0000066,2025-08-08,SKU002,MAA_WH,SUP10,255
RCPT0000067,PO0000067,2024-11-01,SKU002,NCR_WH,SUP10,232
RCPT0000068,PO0000068,2024-11-08,SKU002,NCR_WH,SUP10,255
RCPT0000069,PO0000069,2024-11-22,SKU002,NCR_WH,SUP10,272
RCPT0000070,PO0000070,2025-07-25,SKU002,NCR_WH,SUP10,227
RCPT0000071,PO0000071,2025-08-01,SKU002,NCR_WH,SUP10,245
RCPT0000072,PO0000072,2025-08-01,SKU002,NCR_WH,SUP09,261
RCPT0000073,PO0000073,2024-11-29,SKU002,BOM_WH,SUP10,218
RCPT0000074,PO0000074,2024-12-13,SKU002,BOM_WH,SUP10,227
RCPT0000075,PO0000075,2024-07-05,SKU003,BLR_WH,SUP04,113
RCPT0000076,PO0000076,2024-07-12,SKU003,BLR_WH,SUP05,150
RCPT0000077,PO0000077,2024-07-12,SKU003,BLR_WH,SUP05,174
RCPT0000078,PO0000078,2024-07-19,SKU003,BLR_WH,SUP05,174
RCPT0000079,PO0000079,2024-12-06,SKU003,BLR_WH,SUP05,135
RCPT0000080,PO0000080,2024-12-13,SKU003,BLR_WH,SUP05,170
RCPT0000081,PO0000081,2024-12-13,SKU003,BLR_WH,SUP05,174
RCPT0000082,PO0000082,2024-12-27,SKU003,BLR_WH,SUP05,174
RCPT0000083,PO0000083,2025-04-18,SKU003,BLR_WH,SUP04,163
RCPT0000084,PO0000084,2025-04-25,SKU003,BLR_WH,SUP04,174
RCPT0000085,PO0000085,2025-04-25,SKU003,BLR_WH,SUP05,174
RCPT0000086,PO0000086,2025-05-16,SKU003,BLR_WH,SUP04,174
RCPT0000087,PO0000087,2025-08-15,SKU003,BLR_WH,SUP05,140
RCPT0000088,PO0000088,2025-08-22,SKU003,BLR_WH,SUP05,170
RCPT0000089,PO0000089,2025-08-29,SKU003,BLR_WH,SUP05,174
RCPT0000090,PO0000090,2025-12-05,SKU003,BLR_WH,SUP05,124
RCPT0000091,PO0000091,2025-12-05,SKU003,BLR_WH,SUP04,160
RCPT0000092,PO0000093,2024-06-14,SKU003,MAA_WH,SUP05,126
RCPT0000093,PO0000094,2024-06-14,SKU003,MAA_WH,SUP04,147
RCPT0000094,PO0000095,2024-06-21,SKU003,MAA_WH,SUP04,174
RCPT0000095,PO0000096,2024-06-28,SKU003,MAA_WH,SUP05,174
RCPT0000096,PO0000097,2025-01-17,SKU003,MAA_WH,SUP04,123
RCPT0000097,PO0000098,2025-01-17,SKU003,MAA_WH,SUP05,140
RCPT0000098,PO0000099,2025-01-24,SKU003,MAA_WH,SUP05,165
RCPT0000099,PO0000100,2025-01-31,SKU003,MAA_WH,SUP04,174
RCPT0000100,PO0000102,2025-06-27,SKU003,MAA_WH,SUP05,151
RCPT0000101,PO0000101,2025-07-04,SKU003,MAA_WH,SUP05,124
RCPT0000102,PO0000103,2025-07-04,SKU003,MAA_WH,SUP05,174
RCPT0000103,PO0000104,2025-07-11,SKU003,MAA_WH,SUP05,174
RCPT0000104,PO0000105,2024-06-28,SKU003,NCR_WH,SUP05,147
RCPT0000105,PO0000106,2024-07-12,SKU003,NCR_WH,SUP05,174
RCPT0000106,PO0000107,2024-07-19,SKU003,NCR_WH,SUP04,174
RCPT0000107,PO0000108,2024-07-26,SKU003,NCR_WH,SUP05,144
RCPT0000108,PO0000109,2024-10-25,SKU003,NCR_WH,SUP05,111
RCPT0000109,PO0000110,2024-10-25,SKU003,NCR_WH,SUP04,154
RCPT0000110,PO0000111,2024-11-01,SKU003,NCR_WH,SUP05,174
RCPT0000111,PO0000112,2024-11-15,SKU003,NCR_WH,SUP05,174
RCPT0000112,PO0000113,2025-02-07,SKU003,NCR_WH,SUP05,127
RCPT0000113,PO0000114,2025-02-14,SKU003,NCR_WH,SUP05,171
RCPT0000114,PO0000115,2025-02-14,SKU003,NCR_WH,SUP05,174
RCPT0000115,PO0000116,2025-02-21,SKU003,NCR_WH,SUP05,174
RCPT0000116,PO0000117,2025-05-02,SKU003,NCR_WH,SUP05,174
RCPT0000117,PO0000118,2025-05-16,SKU003,NCR_WH,SUP05,174
RCPT0000118,PO0000119,2025-05-16,SKU003,NCR_WH,SUP05,174
RCPT0000119,PO0000120,2025-05-30,SKU003,NCR_WH,SUP04,137
RCPT0000120,PO0000121,2025-08-01,SKU003,NCR_WH,SUP05,146
RCPT0000121,PO0000123,2025-08-15,SKU003,NCR_WH,SUP05,174
RCPT0000122,PO0000122,2025-08-22,SKU003,NCR_WH,SUP05,174
RCPT0000123,PO0000124,2025-09-05,SKU003,NCR_WH,SUP05,119
RCPT0000124,PO0000125,2025-10-31,SKU003,NCR_WH,SUP05,114
RCPT0000125,PO0000126,2025-11-07,SKU003,NCR_WH,SUP05,161
RCPT0000126,PO0000129,2025-03-21,SKU003,BOM_WH,SUP05,117
RCPT0000127,PO0000130,2025-03-21,SKU003,BOM_WH,SUP05,123
RCPT0000128,PO0000131,2025-03-21,SKU003,BOM_WH,SUP05,128
RCPT0000129,PO0000132,2025-03-28,SKU003,BOM_WH,SUP04,134
RCPT0000130,PO0000133,2025-04-04,SKU003,BOM_WH,SUP05,140
RCPT0000131,PO0000134,2022-12-16,SKU004,BLR_WH,SUP06,137
RCPT0000132,PO0000135,2024-12-13,SKU004,BLR_WH,SUP06,130
RCPT0000133,PO0000136,2024-12-27,SKU004,BLR_WH,SUP06,144
RCPT0000134,PO0000137,2025-04-11,SKU004,BLR_WH,SUP06,141
RCPT0000135,PO0000138,2025-04-18,SKU004,BLR_WH,SUP06,156
RCPT0000136,PO0000139,2025-10-17,SKU004,BLR_WH,SUP05,129
RCPT0000137,PO0000140,2025-10-17,SKU004,BLR_WH,SUP05,136
RCPT0000138,PO0000141,2025-10-31,SKU004,BLR_WH,SUP04,143
RCPT0000139,PO0000142,2025-10-31,SKU004,BLR_WH,SUP06,151
RCPT0000140,PO0000143,2022-12-23,SKU004,MAA_WH,SUP06,133
RCPT0000141,PO0000144,2023-01-06,SKU004,MAA_WH,SUP04,133
RCPT0000142,PO0000145,2025-04-18,SKU004,MAA_WH,SUP05,136
RCPT0000143,PO0000146,2025-04-25,SKU004,MAA_WH,SUP05,145
RCPT0000144,PO0000147,2025-04-25,SKU004,MAA_WH,SUP06,151
RCPT0000145,PO0000148,2024-11-22,SKU004,NCR_WH,SUP06,133
RCPT0000146,PO0000149,2024-12-13,SKU004,NCR_WH,SUP04,151
RCPT0000147,PO0000151,2025-02-28,SKU004,NCR_WH,SUP06,164
RCPT0000148,PO0000150,2025-03-07,SKU004,NCR_WH,SUP05,139
RCPT0000149,PO0000152,2025-03-14,SKU004,NCR_WH,SUP04,187
RCPT0000150,PO0000153,2025-07-25,SKU004,NCR_WH,SUP06,128
RCPT0000151,PO0000154,2025-08-15,SKU004,NCR_WH,SUP05,142
RCPT0000152,PO0000155,2025-02-07,SKU004,BOM_WH,SUP04,142
RCPT0000153,PO0000156,2025-02-07,SKU004,BOM_WH,SUP06,162
RCPT0000154,PO0000157,2025-02-28,SKU004,BOM_WH,SUP04,180
RCPT0000155,PO0000159,2025-08-15,SKU004,BOM_WH,SUP06,145
RCPT0000156,PO0000158,2025-08-22,SKU004,BOM_WH,SUP04,134
RCPT0000157,PO0000160,2023-12-15,SKU005,BLR_WH,SUP05,42
RCPT0000158,PO0000161,2023-12-22,SKU005,BLR_WH,SUP05,42
RCPT0000159,PO0000162,2023-12-29,SKU005,BLR_WH,SUP05,42
RCPT0000160,PO0000163,2023-12-29,SKU005,BLR_WH,SUP05,42
RCPT0000161,PO0000164,2024-01-12,SKU005,BLR_WH,SUP05,23
RCPT0000162,PO0000165,2024-03-01,SKU005,BLR_WH,SUP05,36
RCPT0000163,PO0000166,2024-03-08,SKU005,BLR_WH,SUP05,42
RCPT0000164,PO0000167,2024-03-08,SKU005,BLR_WH,SUP05,42
RCPT0000165,PO0000168,2024-03-15,SKU005,BLR_WH,SUP05,42
RCPT0000166,PO0000169,2024-03-22,SKU005,BLR_WH,SUP05,23
RCPT0000167,PO0000170,2024-06-07,SKU005,BLR_WH,SUP05,42
RCPT0000168,PO0000172,2024-06-07,SKU005,BLR_WH,SUP05,42
RCPT0000169,PO0000171,2024-06-14,SKU005,BLR_WH,SUP05,42
RCPT0000170,PO0000173,2024-06-21,SKU005,BLR_WH,SUP05,42
RCPT0000171,PO0000174,2024-08-30,SKU005,BLR_WH,SUP05,28
RCPT0000172,PO0000175,2024-09-06,SKU005,BLR_WH,SUP05,40
RCPT0000173,PO0000176,2024-09-06,SKU005,BLR_WH,SUP05,42
RCPT0000174,PO0000177,2024-09-13,SKU005,BLR_WH,SUP05,42
RCPT0000175,PO0000178,2024-09-27,SKU005,BLR_WH,SUP05,26
RCPT0000176,PO0000179,2024-12-13,SKU005,BLR_WH,SUP05,26
RCPT0000177,PO0000180,2024-12-13,SKU005,BLR_WH,SUP05,42
RCPT0000178,PO0000181,2024-12-27,SKU005,BLR_WH,SUP05,42
RCPT0000179,PO0000182,2024-12-27,SKU005,BLR_WH,SUP05,42
RCPT0000180,PO0000183,2025-02-14,SKU005,BLR_WH,SUP05,42
RCPT0000181,PO0000184,2025-02-28,SKU005,BLR_WH,SUP05,42
RCPT0000182,PO0000185,2025-02-28,SKU005,BLR_WH,SUP05,42
RCPT0000183,PO0000186,2025-03-14,SKU005,BLR_WH,SUP05,33
RCPT0000184,PO0000187,2025-05-02,SKU005,BLR_WH,SUP05,28
RCPT0000185,PO0000188,2025-05-02,SKU005,BLR_WH,SUP05,42
RCPT0000186,PO0000189,2025-05-16,SKU005,BLR_WH,SUP05,42
RCPT0000187,PO0000190,2025-05-23,SKU005,BLR_WH,SUP05,42
RCPT0000188,PO0000191,2025-06-20,SKU005,BLR_WH,SUP05,31
RCPT0000189,PO0000192,2025-07-04,SKU005,BLR_WH,SUP05,42
RCPT0000190,PO0000193,2025-07-18,SKU005,BLR_WH,SUP05,27
RCPT0000191,PO0000194,2025-07-25,SKU005,BLR_WH,SUP05,42
RCPT0000192,PO0000195,2025-08-01,SKU005,BLR_WH,SUP05,30
RCPT0000193,PO0000196,2025-09-19,SKU005,BLR_WH,SUP05,29
RCPT0000194,PO0000198,2025-10-03,SKU005,BLR_WH,SUP05,42
RCPT0000195,PO0000197,2025-10-10,SKU005,BLR_WH,SUP05,39
RCPT0000196,PO0000199,2025-10-10,SKU005,BLR_WH,SUP05,27
RCPT0000197,PO0000200,2025-10-31,SKU005,BLR_WH,SUP05,38
RCPT0000198,PO0000204,2023-12-01,SKU005,MAA_WH,SUP05,24
RCPT0000199,PO0000205,2023-12-15,SKU005,MAA_WH,SUP05,39
RCPT0000200,PO0000206,2023-12-15,SKU005,MAA_WH,SUP05,42
RCPT0000201,PO0000207,2023-12-22,SKU005,MAA_WH,SUP05,30
RCPT0000202,PO0000208,2023-12-29,SKU005,MAA_WH,SUP05,42
RCPT0000203,PO0000209,2024-03-22,SKU005,MAA_WH,SUP05,23
RCPT0000204,PO0000210,2024-03-29,SKU005,MAA_WH,SUP05,33
RCPT0000205,PO0000211,2024-04-05,SKU005,MAA_WH,SUP05,42
RCPT0000206,PO0000212,2024-04-05,SKU005,MAA_WH,SUP05,42
RCPT0000207,PO0000213,2024-04-19,SKU005,MAA_WH,SUP05,29
RCPT0000208,PO0000214,2024-06-28,SKU005,MAA_WH,SUP05,25
RCPT0000209,PO0000215,2024-07-05,SKU005,MAA_WH,SUP05,38
RCPT0000210,PO0000216,2024-07-12,SKU005,MAA_WH,SUP05,42
RCPT0000211,PO0000217,2024-08-02,SKU005,MAA_WH,SUP05,27
RCPT0000212,PO0000218,2024-11-08,SKU005,MAA_WH,SUP05,29
RCPT0000213,PO0000219,2024-11-08,SKU005,MAA_WH,SUP05,35
RCPT0000214,PO0000220,2024-11-22,SKU005,MAA_WH,SUP05,42
RCPT0000215,PO0000221,2024-11-29,SKU005,MAA_WH,SUP05,42
RCPT0000216,PO0000222,2025-02-07,SKU005,MAA_WH,SUP05,36
RCPT0000217,PO0000223,2025-02-07,SKU005,MAA_WH,SUP05,42
RCPT0000218,PO0000224,2025-02-28,SKU005,MAA_WH,SUP05,42
RCPT0000219,PO0000225,2025-03-07,SKU005,MAA_WH,SUP05,42
RCPT0000220,PO0000226,2025-05-23,SKU005,MAA_WH,SUP05,23
RCPT0000221,PO0000227,2025-05-30,SKU005,MAA_WH,SUP05,41
RCPT0000222,PO0000228,2025-06-06,SKU005,MAA_WH,SUP05,42
RCPT0000223,PO0000229,2025-06-20,SKU005,MAA_WH,SUP05,32
RCPT0000224,PO0000230,2025-08-22,SKU005,MAA_WH,SUP05,29
RCPT0000225,PO0000231,2025-08-22,SKU005,MAA_WH,SUP05,38
RCPT0000226,PO0000232,2025-09-05,SKU005,MAA_WH,SUP05,42
RCPT0000227,PO0000233,2025-09-05,SKU005,MAA_WH,SUP05,42
RCPT0000228,PO0000236,2023-11-03,SKU005,NCR_WH,SUP05,33
RCPT0000229,PO0000237,2023-11-24,SKU005,NCR_WH,SUP05,42
RCPT0000230,PO0000238,2023-11-24,SKU005,NCR_WH,SUP05,42
RCPT0000231,PO0000239,2023-11-24,SKU005,NCR_WH,SUP05,42
RCPT0000232,PO0000240,2023-12-01,SKU005,NCR_WH,SUP05,42
RCPT0000233,PO0000241,2023-12-15,SKU005,NCR_WH,SUP05,42
RCPT0000234,PO0000242,2024-01-12,SKU005,NCR_WH,SUP05,33
RCPT0000235,PO0000243,2024-01-12,SKU005,NCR_WH,SUP05,42
RCPT0000236,PO0000244,2024-01-12,SKU005,NCR_WH,SUP05,42
RCPT0000237,PO0000246,2024-01-26,SKU005,NCR_WH,SUP05,42
RCPT0000238,PO0000245,2024-02-02,SKU005,NCR_WH,SUP05,42
RCPT0000239,PO0000247,2024-02-09,SKU005,NCR_WH,SUP05,27
RCPT0000240,PO0000248,2024-02-09,SKU005,NCR_WH,SUP05,36
RCPT0000241,PO0000249,2024-02-23,SKU005,NCR_WH,SUP05,28
RCPT0000242,PO0000250,2024-03-22,SKU005,NCR_WH,SUP05,30
RCPT0000243,PO0000251,2024-03-22,SKU005,NCR_WH,SUP05,28
RCPT0000244,PO0000252,2024-03-22,SKU005,NCR_WH,SUP05,42
RCPT0000245,PO0000253,2024-04-05,SKU005,NCR_WH,SUP05,42
RCPT0000246,PO0000254,2024-04-05,SKU005,NCR_WH,SUP05,42
RCPT0000247,PO0000255,2024-04-26,SKU005,NCR_WH,SUP05,27
RCPT0000248,PO0000256,2024-05-17,SKU005,NCR_WH,SUP05,39
RCPT0000249,PO0000258,2024-05-17,SKU005,NCR_WH,SUP05,42
RCPT0000250,PO0000257,2024-05-24,SKU005,NCR_WH,SUP05,42
RCPT0000251,PO0000259,2024-05-24,SKU005,NCR_WH,SUP05,42
RCPT0000252,PO0000260,2024-07-12,SKU005,NCR_WH,SUP05,42
RCPT0000253,PO0000261,2024-07-19,SKU005,NCR_WH,SUP05,42
RCPT0000254,PO0000262,2024-07-19,SKU005,NCR_WH,SUP05,42
RCPT0000255,PO0000263,2024-07-19,SKU005,NCR_WH,SUP05,42
RCPT0000256,PO0000264,2024-08-02,SKU005,NCR_WH,SUP05,42
RCPT0000257,PO0000265,2024-09-13,SKU005,NCR_WH,SUP05,36
RCPT0000258,PO0000266,2024-09-20,SKU005,NCR_WH,SUP05,42
RCPT0000259,PO0000267,2024-10-04,SKU005,NCR_WH,SUP05,42
RCPT0000260,PO0000268,2024-10-18,SKU005,NCR_WH,SUP05,34
RCPT0000261,PO0000269,2024-10-18,SKU005,NCR_WH,SUP05,42
RCPT0000262,PO0000270,2024-10-25,SKU005,NCR_WH,SUP05,27
RCPT0000263,PO0000271,2024-11-08,SKU005,NCR_WH,SUP05,42
RCPT0000264,PO0000272,2024-11-29,SKU005,NCR_WH,SUP05,25
RCPT0000265,PO0000273,2024-11-29,SKU005,NCR_WH,SUP05,26
RCPT0000266,PO0000274,2024-12-06,SKU005,NCR_WH,SUP05,42
RCPT0000267,PO0000275,2024-12-27,SKU005,NCR_WH,SUP05,42
RCPT0000268,PO0000276,2024-12-27,SKU005,NCR_WH,SUP05,34
RCPT0000269,PO0000277,2025-01-03,SKU005,NCR_WH,SUP05,42
RCPT0000270,PO0000278,2025-01-17,SKU005,NCR_WH,SUP05,42
RCPT0000271,PO0000279,2025-01-17,SKU005,NCR_WH,SUP05,42
RCPT0000272,PO0000280,2025-01-24,SKU005,NCR_WH,SUP05,31
RCPT0000273,PO0000281,2025-01-31,SKU005,NCR_WH,SUP05,42
RCPT0000274,PO0000283,2025-02-21,SKU005,NCR_WH,SUP05,42
RCPT0000275,PO0000282,2025-02-28,SKU005,NCR_WH,SUP05,30
RCPT0000276,PO0000284,2025-03-07,SKU005,NCR_WH,SUP05,42
RCPT0000277,PO0000285,2025-03-07,SKU005,NCR_WH,SUP05,42
RCPT0000278,PO0000286,2025-03-21,SKU005,NCR_WH,SUP05,35
RCPT0000279,PO0000287,2025-03-28,SKU005,NCR_WH,SUP05,42
RCPT0000280,PO0000288,2025-04-04,SKU005,NCR_WH,SUP05,39
RCPT0000281,PO0000289,2025-04-11,SKU005,NCR_WH,SUP05,42
RCPT0000282,PO0000290,2025-04-25,SKU005,NCR_WH,SUP05,39
RCPT0000283,PO0000291,2025-05-02,SKU005,NCR_WH,SUP05,42
RCPT0000284,PO0000292,2025-05-09,SKU005,NCR_WH,SUP05,39
RCPT0000285,PO0000293,2025-05-16,SKU005,NCR_WH,SUP05,42
RCPT0000286,PO0000294,2025-05-23,SKU005,NCR_WH,SUP05,39
RCPT0000287,PO0000295,2025-05-30,SKU005,NCR_WH,SUP05,33
RCPT0000288,PO0000296,2025-06-06,SKU005,NCR_WH,SUP05,42
RCPT0000289,PO0000297,2025-06-13,SKU005,NCR_WH,SUP05,42
RCPT0000290,PO0000298,2025-06-20,SKU005,NCR_WH,SUP05,42
RCPT0000291,PO0000299,2025-06-27,SKU005,NCR_WH,SUP05,42
RCPT0000292,PO0000300,2025-06-27,SKU005,NCR_WH,SUP05,42
RCPT0000293,PO0000301,2025-06-27,SKU005,NCR_WH,SUP05,42
RCPT0000294,PO0000302,2025-07-11,SKU005,NCR_WH,SUP05,42
RCPT0000295,PO0000303,2025-08-08,SKU005,NCR_WH,SUP05,23
RCPT0000296,PO0000304,2025-08-15,SKU005,NCR_WH,SUP05,42
RCPT0000297,PO0000305,2025-08-22,SKU005,NCR_WH,SUP05,42
RCPT0000298,PO0000306,2025-09-05,SKU005,NCR_WH,SUP05,42
RCPT0000299,PO0000307,2025-09-12,SKU005,NCR_WH,SUP05,32
RCPT0000300,PO0000308,2025-09-26,SKU005,NCR_WH,SUP05,30
RCPT0000301,PO0000309,2025-10-10,SKU005,NCR_WH,SUP05,28
RCPT0000302,PO0000310,2025-10-24,SKU005,NCR_WH,SUP05,25
RCPT0000303,PO0000312,2025-10-24,SKU005,NCR_WH,SUP05,42
RCPT0000304,PO0000311,2025-10-31,SKU005,NCR_WH,SUP03,42
RCPT0000305,PO0000313,2025-10-31,SKU005,NCR_WH,SUP05,42
RCPT0000306,PO0000314,2025-12-05,SKU005,NCR_WH,SUP05,42
RCPT0000307,PO0000318,2023-12-08,SKU005,BOM_WH,SUP05,42
RCPT0000308,PO0000319,2023-12-08,SKU005,BOM_WH,SUP05,42
RCPT0000309,PO0000320,2023-12-22,SKU005,BOM_WH,SUP05,42
RCPT0000310,PO0000321,2023-12-22,SKU005,BOM_WH,SUP05,42
RCPT0000311,PO0000322,2024-01-12,SKU005,BOM_WH,SUP05,38
RCPT0000312,PO0000323,2024-01-19,SKU005,BOM_WH,SUP05,37
RCPT0000313,PO0000324,2024-01-19,SKU005,BOM_WH,SUP05,42
RCPT0000314,PO0000325,2024-02-02,SKU005,BOM_WH,SUP05,42
RCPT0000315,PO0000326,2024-02-16,SKU005,BOM_WH,SUP05,42
RCPT0000316,PO0000327,2024-02-23,SKU005,BOM_WH,SUP05,24
RCPT0000317,PO0000328,2024-03-08,SKU005,BOM_WH,SUP05,42
RCPT0000318,PO0000330,2024-03-15,SKU005,BOM_WH,SUP05,42
RCPT0000319,PO0000329,2024-03-22,SKU005,BOM_WH,SUP05,29
RCPT0000320,PO0000331,2024-03-22,SKU005,BOM_WH,SUP05,42
RCPT0000321,PO0000332,2024-03-29,SKU005,BOM_WH,SUP05,30
RCPT0000322,PO0000333,2024-05-10,SKU005,BOM_WH,SUP05,42
RCPT0000323,PO0000334,2024-05-10,SKU005,BOM_WH,SUP05,42
RCPT0000324,PO0000335,2024-05-24,SKU005,BOM_WH,SUP05,42
RCPT0000325,PO0000336,2024-05-24,SKU005,BOM_WH,SUP05,42
RCPT0000326,PO0000337,2024-06-07,SKU005,BOM_WH,SUP05,42
RCPT0000327,PO0000338,2024-06-14,SKU005,BOM_WH,SUP05,42
RCPT0000328,PO0000339,2024-06-28,SKU005,BOM_WH,SUP05,37
RCPT0000329,PO0000340,2024-07-05,SKU005,BOM_WH,SUP05,35
RCPT0000330,PO0000341,2024-07-19,SKU005,BOM_WH,SUP05,42
RCPT0000331,PO0000342,2024-07-26,SKU005,BOM_WH,SUP05,36
RCPT0000332,PO0000343,2024-08-09,SKU005,BOM_WH,SUP05,42
RCPT0000333,PO0000344,2024-08-09,SKU005,BOM_WH,SUP05,25
RCPT0000334,PO0000345,2024-08-23,SKU005,BOM_WH,SUP05,38
RCPT0000335,PO0000346,2024-10-04,SKU005,BOM_WH,SUP05,40
RCPT0000336,PO0000347,2024-10-04,SKU005,BOM_WH,SUP05,42
RCPT0000337,PO0000348,2024-10-11,SKU005,BOM_WH,SUP05,42
RCPT0000338,PO0000349,2024-10-18,SKU005,BOM_WH,SUP05,42
RCPT0000339,PO0000351,2024-12-06,SKU005,BOM_WH,SUP05,42
RCPT0000340,PO0000350,2024-12-13,SKU005,BOM_WH,SUP05,27
RCPT0000341,PO0000352,2024-12-20,SKU005,BOM_WH,SUP05,42
RCPT0000342,PO0000353,2024-12-20,SKU005,BOM_WH,SUP05,42
RCPT0000343,PO0000354,2025-01-03,SKU005,BOM_WH,SUP05,42
RCPT0000344,PO0000355,2025-01-03,SKU005,BOM_WH,SUP05,42
RCPT0000345,PO0000356,2025-01-24,SKU005,BOM_WH,SUP05,42
RCPT0000346,PO0000357,2025-02-07,SKU005,BOM_WH,SUP05,37
RCPT0000347,PO0000358,2025-02-07,SKU005,BOM_WH,SUP05,42
RCPT0000348,PO0000359,2025-02-21,SKU005,BOM_WH,SUP05,42
