po_id,order_week,expected_week,item_id,location_id,supplier_id,qty_ordered
PO0000070,2025-07-04,2025-07-19,SKU002,NCR_WH,SUP10,227
PO0000071,2025-07-11,2025-07-31,SKU002,NCR_WH,SUP10,245
PO0000072,2025-07-18,2025-07-27,SKU002,NCR_WH,SUP09,261
PO0000073,2024-11-15,2024-11-29,SKU002,BOM_WH,SUP10,218
PO0000074,2024-11-22,2024-12-07,SKU002,BOM_WH,SUP10,227
PO0000075,2024-06-07,2024-06-30,SKU003,BLR_WH,SUP04,113
PO0000076,2024-06-14,2024-07-07,SKU003,BLR_WH,SUP05,150
PO0000077,2024-06-21,2024-07-12,SKU003,BLR_WH,SUP05,174
PO0000078,2024-06-28,2024-07-18,SKU003,BLR_WH,SUP05,174
PO0000079,2024-11-08,2024-11-30,SKU003,BLR_WH,SUP05,135
PO0000080,2024-11-15,2024-12-07,SKU003,BLR_WH,SUP05,170
PO0000081,2024-11-22,2024-12-12,SKU003,BLR_WH,SUP05,174
PO0000082,2024-11-29,2024-12-27,SKU003,BLR_WH,SUP05,174
PO0000083,2025-03-21,2025-04-12,SKU003,BLR_WH,SUP04,163
PO0000084,2025-03-28,2025-04-19,SKU003,BLR_WH,SUP04,174
PO0000085,2025-04-04,2025-04-24,SKU003,BLR_WH,SUP05,174
PO0000086,2025-04-11,2025-05-14,SKU003,BLR_WH,SUP04,174
PO0000087,2025-07-25,2025-08-14,SKU003,BLR_WH,SUP05,140
PO0000088,2025-08-01,2025-08-22,SKU003,BLR_WH,SUP05,170
PO0000089,2025-08-08,2025-08-29,SKU003,BLR_WH,SUP05,174
PO0000090,2025-11-14,2025-12-04,SKU003,BLR_WH,SUP05,124
PO0000091,2025-11-21,2025-12-05,SKU003,BLR_WH,SUP04,160
PO0000092,2025-11-28,2025-12-25,SKU003,BLR_WH,SUP05,174
PO0000093,2024-05-17,2024-06-08,SKU003,MAA_WH,SUP05,126
PO0000094,2024-05-24,2024-06-12,SKU003,MAA_WH,SUP04,147
PO0000095,2024-05-31,2024-06-21,SKU003,MAA_WH,SUP04,174
PO0000096,2024-06-07,2024-06-27,SKU003,MAA_WH,SUP05,174
PO0000097,2024-12-20,2025-01-15,SKU003,MAA_WH,SUP04,123
PO0000098,2024-12-27,2025-01-16,SKU003,MAA_WH,SUP05,140
PO0000099,2025-01-03,2025-01-22,SKU003,MAA_WH,SUP05,165
PO0000100,2025-01-10,2025-01-30,SKU003,MAA_WH,SUP04,174
PO0000101,2025-05-30,2025-06-29,SKU003,MAA_WH,SUP05,124
PO0000102,2025-06-06,2025-06-25,SKU003,MAA_WH,SUP05,151
PO0000103,2025-06-13,2025-06-28,SKU003,MAA_WH,SUP05,174
PO0000104,2025-06-20,2025-07-06,SKU003,MAA_WH,SUP05,174
PO0000105,2024-06-07,2024-06-27,SKU003,NCR_WH,SUP05,147
PO0000106,2024-06-14,2024-07-06,SKU003,NCR_WH,SUP05,174
PO0000107,2024-06-21,2024-07-14,SKU003,NCR_WH,SUP04,174
PO0000108,2024-07-05,2024-07-25,SKU003,NCR_WH,SUP05,144
PO0000109,2024-09-27,2024-10-24,SKU003,NCR_WH,SUP05,111
PO0000110,2024-10-04,2024-10-20,SKU003,NCR_WH,SUP04,154
PO0000111,2024-10-11,2024-10-30,SKU003,NCR_WH,SUP05,174
PO0000112,2024-10-18,2024-11-09,SKU003,NCR_WH,SUP05,174
PO0000113,2025-01-10,2025-02-05,SKU003,NCR_WH,SUP05,127
PO0000114,2025-01-17,2025-02-14,SKU003,NCR_WH,SUP05,171
PO0000115,2025-01-24,2025-02-12,SKU003,NCR_WH,SUP05,174
PO0000116,2025-01-31,2025-02-19,SKU003,NCR_WH,SUP05,174
PO0000117,2025-04-11,2025-05-01,SKU003,NCR_WH,SUP05,174
PO0000118,2025-04-18,2025-05-11,SKU003,NCR_WH,SUP05,174
PO0000119,2025-04-25,2025-05-15,SKU003,NCR_WH,SUP05,174
PO0000120,2025-05-09,2025-05-30,SKU003,NCR_WH,SUP04,137
PO0000121,2025-07-11,2025-07-31,SKU003,NCR_WH,SUP05,146
PO0000122,2025-07-18,2025-08-16,SKU003,NCR_WH,SUP05,174
PO0000123,2025-07-25,2025-08-14,SKU003,NCR_WH,SUP05,174
PO0000124,2025-08-08,2025-08-30,SKU003,NCR_WH,SUP05,119
PO0000125,2025-10-17,2025-10-31,SKU003,NCR_WH,SUP05,114
PO0000126,2025-10-24,2025-11-05,SKU003,NCR_WH,SUP05,161
PO0000127,2025-11-28,2025-12-10,SKU003,NCR_WH,SUP04,135
PO0000128,2025-12-05,2025-12-26,SKU003,NCR_WH,SUP04,174
PO0000129,2025-02-14,2025-03-16,SKU003,BOM_WH,SUP05,117
PO0000130,2025-02-21,2025-03-21,SKU003,BOM_WH,SUP05,123
PO0000131,2025-02-28,2025-03-20,SKU003,BOM_WH,SUP05,128
PO0000132,2025-03-07,2025-03-28,SKU003,BOM_WH,SUP04,134
PO0000133,2025-03-14,2025-04-04,SKU003,BOM_WH,SUP05,140
PO0000134,2022-12-09,2022-12-14,SKU004,BLR_WH,SUP06,137
PO0000135,2024-11-29,2024-12-07,SKU004,BLR_WH,SUP06,130
PO0000136,2024-12-06,2024-12-21,SKU004,BLR_WH,SUP06,144
PO0000137,2025-03-28,2025-04-11,SKU004,BLR_WH,SUP06,141
PO0000138,2025-04-04,2025-04-12,SKU004,BLR_WH,SUP06,156
PO0000139,2025-09-19,2025-10-17,SKU004,BLR_WH,SUP05,129
PO0000140,2025-09-26,2025-10-15,SKU004,BLR_WH,SUP05,136
PO0000141,2025-10-03,2025-10-29,SKU004,BLR_WH,SUP04,143
PO0000142,2025-10-10,2025-10-26,SKU004,BLR_WH,SUP06,151
PO0000143,2022-12-09,2022-12-18,SKU004,MAA_WH,SUP06,133
PO0000144,2022-12-16,2023-01-06,SKU004,MAA_WH,SUP04,133
PO0000145,2025-03-28,2025-04-16,SKU004,MAA_WH,SUP05,136
PO0000146,2025-04-04,2025-04-25,SKU004,MAA_WH,SUP05,145
PO0000147,2025-04-11,2025-04-19,SKU004,MAA_WH,SUP06,151
PO0000148,2024-11-08,2024-11-21,SKU004,NCR_WH,SUP06,133
PO0000149,2024-11-15,2024-12-13,SKU004,NCR_WH,SUP04,151
PO0000150,2025-02-07,2025-03-05,SKU004,NCR_WH,SUP05,139
PO0000151,2025-02-14,2025-02-23,SKU004,NCR_WH,SUP06,164
PO0000152,2025-02-21,2025-03-14,SKU004,NCR_WH,SUP04,187
PO0000153,2025-07-11,2025-07-23,SKU004,NCR_WH,SUP06,128
PO0000154,2025-07-18,2025-08-15,SKU004,NCR_WH,SUP05,142
PO0000155,2025-01-17,2025-02-05,SKU004,BOM_WH,SUP04,142
PO0000156,2025-01-24,2025-02-02,SKU004,BOM_WH,SUP06,162
PO0000157,2025-01-31,2025-02-26,SKU004,BOM_WH,SUP04,180
PO0000158,2025-08-01,2025-08-20,SKU004,BOM_WH,SUP04,134
PO0000159,2025-08-08,2025-08-15,SKU004,BOM_WH,SUP06,145
PO0000160,2023-11-17,2023-12-09,SKU005,BLR_WH,SUP05,42
PO0000161,2023-11-24,2023-12-17,SKU005,BLR_WH,SUP05,42
PO0000162,2023-12-01,2023-12-23,SKU005,BLR_WH,SUP05,42
PO0000163,2023-12-08,2023-12-29,SKU005,BLR_WH,SUP05,42
PO0000164,2023-12-15,2024-01-10,SKU005,BLR_WH,SUP05,23
PO0000165,2024-02-02,2024-02-25,SKU005,BLR_WH,SUP05,36
PO0000166,2024-02-09,2024-03-02,SKU005,BLR_WH,SUP05,42
PO0000167,2024-02-16,2024-03-08,SKU005,BLR_WH,SUP05,42
PO0000168,2024-02-23,2024-03-13,SKU005,BLR_WH,SUP05,42
PO0000169,2024-03-01,2024-03-21,SKU005,BLR_WH,SUP05,23
PO0000170,2024-05-10,2024-06-02,SKU005,BLR_WH,SUP05,42
PO0000171,2024-05-17,2024-06-09,SKU005,BLR_WH,SUP05,42
PO0000172,2024-05-24,2024-06-07,SKU005,BLR_WH,SUP05,42
PO0000173,2024-05-31,2024-06-15,SKU005,BLR_WH,SUP05,42
PO0000174,2024-08-02,2024-08-25,SKU005,BLR_WH,SUP05,28
PO0000175,2024-08-09,2024-08-31,SKU005,BLR_WH,SUP05,40
PO0000176,2024-08-16,2024-09-04,SKU005,BLR_WH,SUP05,42
PO0000177,2024-08-23,2024-09-11,SKU005,BLR_WH,SUP05,42
PO0000178,2024-08-30,2024-09-26,SKU005,BLR_WH,SUP05,26
PO0000179,2024-11-15,2024-12-11,SKU005,BLR_WH,SUP05,26
PO0000180,2024-11-22,2024-12-13,SKU005,BLR_WH,SUP05,42
PO0000181,2024-11-29,2024-12-22,SKU005,BLR_WH,SUP05,42
PO0000182,2024-12-06,2024-12-27,SKU005,BLR_WH,SUP05,42
PO0000183,2025-01-24,2025-02-13,SKU005,BLR_WH,SUP05,42
PO0000184,2025-01-31,2025-02-23,SKU005,BLR_WH,SUP05,42
PO0000185,2025-02-07,2025-02-26,SKU005,BLR_WH,SUP05,42
PO0000186,2025-02-21,2025-03-13,SKU005,BLR_WH,SUP05,33
PO0000187,2025-04-04,2025-04-26,SKU005,BLR_WH,SUP05,28
PO0000188,2025-04-11,2025-05-02,SKU005,BLR_WH,SUP05,42
PO0000189,2025-04-18,2025-05-10,SKU005,BLR_WH,SUP05,42
PO0000190,2025-04-25,2025-05-18,SKU005,BLR_WH,SUP05,42
PO0000191,2025-06-06,2025-06-18,SKU005,BLR_WH,SUP05,31
PO0000192,2025-06-13,2025-06-28,SKU005,BLR_WH,SUP05,42
PO0000193,2025-06-20,2025-07-13,SKU005,BLR_WH,SUP05,27
PO0000194,2025-06-27,2025-07-19,SKU005,BLR_WH,SUP05,42
PO0000195,2025-07-11,2025-07-31,SKU005,BLR_WH,SUP05,30
PO0000196,2025-08-29,2025-09-17,SKU005,BLR_WH,SUP05,29
PO0000197,2025-09-05,2025-10-04,SKU005,BLR_WH,SUP05,39
PO0000198,2025-09-12,2025-10-02,SKU005,BLR_WH,SUP05,42
PO0000199,2025-09-19,2025-10-09,SKU005,BLR_WH,SUP05,27
PO0000200,2025-09-26,2025-10-26,SKU005,BLR_WH,SUP05,38
PO0000201,2025-11-21,2025-12-10,SKU005,BLR_WH,SUP05,24
PO0000202,2025-11-28,2025-12-19,SKU005,BLR_WH,SUP05,42
PO0000203,2025-12-05,2026-01-01,SKU005,BLR_WH,SUP05,42
PO0000204,2023-11-10,2023-11-30,SKU005,MAA_WH,SUP05,24
PO0000205,2023-11-17,2023-12-10,SKU005,MAA_WH,SUP05,39
PO0000206,2023-11-24,2023-12-13,SKU005,MAA_WH,SUP05,42
PO0000207,2023-12-01,2023-12-21,SKU005,MAA_WH,SUP05,30
PO0000208,2023-12-08,2023-12-28,SKU005,MAA_WH,SUP05,42
PO0000209,2024-02-23,2024-03-17,SKU005,MAA_WH,SUP05,23
PO0000210,2024-03-01,2024-03-24,SKU005,MAA_WH,SUP05,33
PO0000211,2024-03-08,2024-03-31,SKU005,MAA_WH,SUP05,42
PO0000212,2024-03-15,2024-04-04,SKU005,MAA_WH,SUP05,42
PO0000213,2024-03-22,2024-04-14,SKU005,MAA_WH,SUP05,29
PO0000214,2024-06-07,2024-06-26,SKU005,MAA_WH,SUP05,25
PO0000215,2024-06-14,2024-07-03,SKU005,MAA_WH,SUP05,38
PO0000216,2024-06-21,2024-07-11,SKU005,MAA_WH,SUP05,42
PO0000217,2024-06-28,2024-07-28,SKU005,MAA_WH,SUP05,27
PO0000218,2024-10-11,2024-11-02,SKU005,MAA_WH,SUP05,29
PO0000219,2024-10-18,2024-11-08,SKU005,MAA_WH,SUP05,35
PO0000220,2024-10-25,2024-11-21,SKU005,MAA_WH,SUP05,42
PO0000221,2024-11-01,2024-11-29,SKU005,MAA_WH,SUP05,42
PO0000222,2025-01-10,2025-02-05,SKU005,MAA_WH,SUP05,36
PO0000223,2025-01-17,2025-02-06,SKU005,MAA_WH,SUP05,42
PO0000224,2025-01-24,2025-02-22,SKU005,MAA_WH,SUP05,42
PO0000225,2025-01-31,2025-03-01,SKU005,MAA_WH,SUP05,42
PO0000226,2025-05-02,2025-05-23,SKU005,MAA_WH,SUP05,23
PO0000227,2025-05-09,2025-05-30,SKU005,MAA_WH,SUP05,41
PO0000228,2025-05-16,2025-06-06,SKU005,MAA_WH,SUP05,42
PO0000229,2025-05-23,2025-06-19,SKU005,MAA_WH,SUP05,32
PO0000230,2025-07-25,2025-08-17,SKU005,MAA_WH,SUP05,29
PO0000231,2025-08-01,2025-08-22,SKU005,MAA_WH,SUP05,38
PO0000232,2025-08-08,2025-08-30,SKU005,MAA_WH,SUP05,42
PO0000233,2025-08-15,2025-09-05,SKU005,MAA_WH,SUP05,42
PO0000234,2025-11-28,2025-12-25,SKU005,MAA_WH,SUP05,26
PO0000235,2025-12-05,2025-12-31,SKU005,MAA_WH,SUP05,37
PO0000236,2023-10-13,2023-11-03,SKU005,NCR_WH,SUP05,33
PO0000237,2023-10-20,2023-11-19,SKU005,NCR_WH,SUP05,42
PO0000238,2023-10-27,2023-11-23,SKU005,NCR_WH,SUP05,42
PO0000239,2023-11-03,2023-11-24,SKU005,NCR_WH,SUP05,42
PO0000240,2023-11-10,2023-11-30,SKU005,NCR_WH,SUP05,42
PO0000241,2023-11-17,2023-12-09,SKU005,NCR_WH,SUP05,42
PO0000242,2023-12-08,2024-01-06,SKU005,NCR_WH,SUP05,33
PO0000243,2023-12-15,2024-01-06,SKU005,NCR_WH,SUP05,42
PO0000244,2023-12-22,2024-01-10,SKU005,NCR_WH,SUP05,42
PO0000245,2023-12-29,2024-01-28,SKU005,NCR_WH,SUP05,42
PO0000246,2024-01-05,2024-01-25,SKU005,NCR_WH,SUP05,42
PO0000247,2024-01-19,2024-02-04,SKU005,NCR_WH,SUP05,27
PO0000248,2024-01-26,2024-02-07,SKU005,NCR_WH,SUP05,36
PO0000249,2024-02-02,2024-02-23,SKU005,NCR_WH,SUP05,28
PO0000250,2024-02-16,2024-03-17,SKU005,NCR_WH,SUP05,30
PO0000251,2024-02-23,2024-03-22,SKU005,NCR_WH,SUP05,28
PO0000252,2024-03-01,2024-03-20,SKU005,NCR_WH,SUP05,42
PO0000253,2024-03-08,2024-04-04,SKU005,NCR_WH,SUP05,42
PO0000254,2024-03-15,2024-04-05,SKU005,NCR_WH,SUP05,42
PO0000255,2024-03-29,2024-04-26,SKU005,NCR_WH,SUP05,27
PO0000256,2024-04-19,2024-05-11,SKU005,NCR_WH,SUP05,39
PO0000257,2024-04-26,2024-05-19,SKU005,NCR_WH,SUP05,42
PO0000258,2024-05-03,2024-05-17,SKU005,NCR_WH,SUP05,42
PO0000259,2024-05-10,2024-05-22,SKU005,NCR_WH,SUP05,42
PO0000260,2024-06-07,2024-07-07,SKU005,NCR_WH,SUP05,42
PO0000261,2024-06-14,2024-07-14,SKU005,NCR_WH,SUP05,42
PO0000262,2024-06-21,2024-07-14,SKU005,NCR_WH,SUP05,42
PO0000263,2024-06-28,2024-07-18,SKU005,NCR_WH,SUP05,42
PO0000264,2024-07-05,2024-07-27,SKU005,NCR_WH,SUP05,42
PO0000265,2024-08-23,2024-09-13,SKU005,NCR_WH,SUP05,36
PO0000266,2024-08-30,2024-09-19,SKU005,NCR_WH,SUP05,42
PO0000267,2024-09-06,2024-09-29,SKU005,NCR_WH,SUP05,42
PO0000268,2024-09-13,2024-10-13,SKU005,NCR_WH,SUP05,34
PO0000269,2024-09-27,2024-10-16,SKU005,NCR_WH,SUP05,42
PO0000270,2024-10-04,2024-10-24,SKU005,NCR_WH,SUP05,27
PO0000271,2024-10-11,2024-11-02,SKU005,NCR_WH,SUP05,42
PO0000272,2024-11-01,2024-11-28,SKU005,NCR_WH,SUP05,25
PO0000273,2024-11-08,2024-11-29,SKU005,NCR_WH,SUP05,26
PO0000274,2024-11-15,2024-12-05,SKU005,NCR_WH,SUP05,42
PO0000275,2024-11-22,2024-12-22,SKU005,NCR_WH,SUP05,42
PO0000276,2024-11-29,2024-12-22,SKU005,NCR_WH,SUP05,34
PO0000277,2024-12-06,2024-12-29,SKU005,NCR_WH,SUP05,42
PO0000278,2024-12-13,2025-01-12,SKU005,NCR_WH,SUP05,42
PO0000279,2024-12-20,2025-01-11,SKU005,NCR_WH,SUP05,42
PO0000280,2025-01-03,2025-01-24,SKU005,NCR_WH,SUP05,31
PO0000281,2025-01-10,2025-01-29,SKU005,NCR_WH,SUP05,42
PO0000282,2025-01-24,2025-02-23,SKU005,NCR_WH,SUP05,30
PO0000283,2025-01-31,2025-02-19,SKU005,NCR_WH,SUP05,42
PO0000284,2025-02-07,2025-03-07,SKU005,NCR_WH,SUP05,42
PO0000285,2025-02-14,2025-03-05,SKU005,NCR_WH,SUP05,42
PO0000286,2025-02-21,2025-03-20,SKU005,NCR_WH,SUP05,35
PO0000287,2025-02-28,2025-03-27,SKU005,NCR_WH,SUP05,42
PO0000288,2025-03-14,2025-04-02,SKU005,NCR_WH,SUP05,39
PO0000289,2025-03-21,2025-04-10,SKU005,NCR_WH,SUP05,42
PO0000290,2025-03-28,2025-04-19,SKU005,NCR_WH,SUP05,39
PO0000291,2025-04-04,2025-04-26,SKU005,NCR_WH,SUP05,42
PO0000292,2025-04-11,2025-05-03,SKU005,NCR_WH,SUP05,39
PO0000293,2025-04-18,2025-05-10,SKU005,NCR_WH,SUP05,42
PO0000294,2025-04-25,2025-05-21,SKU005,NCR_WH,SUP05,39
PO0000295,2025-05-02,2025-05-25,SKU005,NCR_WH,SUP05,33
PO0000296,2025-05-09,2025-06-01,SKU005,NCR_WH,SUP05,42
PO0000297,2025-05-16,2025-06-07,SKU005,NCR_WH,SUP05,42
PO0000298,2025-05-23,2025-06-20,SKU005,NCR_WH,SUP05,42
PO0000299,2025-05-30,2025-06-21,SKU005,NCR_WH,SUP05,42
PO0000300,2025-06-06,2025-06-22,SKU005,NCR_WH,SUP05,42
PO0000301,2025-06-13,2025-06-27,SKU005,NCR_WH,SUP05,42
PO0000302,2025-06-20,2025-07-10,SKU005,NCR_WH,SUP05,42
PO0000303,2025-07-18,2025-08-08,SKU005,NCR_WH,SUP05,23
PO0000304,2025-07-25,2025-08-14,SKU005,NCR_WH,SUP05,42
PO0000305,2025-08-01,2025-08-22,SKU005,NCR_WH,SUP05,42
PO0000306,2025-08-08,2025-08-30,SKU005,NCR_WH,SUP05,42
PO0000307,2025-08-15,2025-09-06,SKU005,NCR_WH,SUP05,32
PO0000308,2025-08-29,2025-09-21,SKU005,NCR_WH,SUP05,30
PO0000309,2025-09-19,2025-10-10,SKU005,NCR_WH,SUP05,28
PO0000310,2025-09-26,2025-10-19,SKU005,NCR_WH,SUP05,25
PO0000311,2025-10-03,2025-10-25,SKU005,NCR_WH,SUP03,42
PO0000312,2025-10-10,2025-10-23,SKU005,NCR_WH,SUP05,42
PO0000313,2025-10-17,2025-10-29,SKU005,NCR_WH,SUP05,42
PO0000314,2025-11-14,2025-12-03,SKU005,NCR_WH,SUP05,42
PO0000315,2025-11-21,2025-12-13,SKU005,NCR_WH,SUP05,42
PO0000316,2025-11-28,2025-12-20,SKU005,NCR_WH,SUP05,42
PO0000317,2025-12-05,2026-01-01,SKU005,NCR_WH,SUP05,42
PO0000318,2023-11-10,2023-12-03,SKU005,BOM_WH,SUP05,42
PO0000319,2023-11-17,2023-12-07,SKU005,BOM_WH,SUP05,42
PO0000320,2023-11-24,2023-12-17,SKU005,BOM_WH,SUP05,42
PO0000321,2023-12-01,2023-12-21,SKU005,BOM_WH,SUP05,42
PO0000322,2023-12-15,2024-01-07,SKU005,BOM_WH,SUP05,38
PO0000323,2023-12-29,2024-01-18,SKU005,BOM_WH,SUP05,37
PO0000324,2024-01-05,2024-01-17,SKU005,BOM_WH,SUP05,42
PO0000325,2024-01-12,2024-02-02,SKU005,BOM_WH,SUP05,42
PO0000326,2024-01-26,2024-02-14,SKU005,BOM_WH,SUP05,42
PO0000327,2024-02-02,2024-02-21,SKU005,BOM_WH,SUP05,24
PO0000328,2024-02-09,2024-03-02,SKU005,BOM_WH,SUP05,42
PO0000329,2024-02-16,2024-03-16,SKU005,BOM_WH,SUP05,29
PO0000330,2024-02-23,2024-03-15,SKU005,BOM_WH,SUP05,42
PO0000331,2024-03-01,2024-03-22,SKU005,BOM_WH,SUP05,42
PO0000332,2024-03-08,2024-03-27,SKU005,BOM_WH,SUP05,30
PO0000333,2024-04-12,2024-05-05,SKU005,BOM_WH,SUP05,42
PO0000334,2024-04-19,2024-05-09,SKU005,BOM_WH,SUP05,42
PO0000335,2024-04-26,2024-05-23,SKU005,BOM_WH,SUP05,42
PO0000336,2024-05-03,2024-05-18,SKU005,BOM_WH,SUP05,42
PO0000337,2024-05-17,2024-06-06,SKU005,BOM_WH,SUP05,42
PO0000338,2024-05-31,2024-06-12,SKU005,BOM_WH,SUP05,42
PO0000339,2024-06-07,2024-06-28,SKU005,BOM_WH,SUP05,37
PO0000340,2024-06-14,2024-07-05,SKU005,BOM_WH,SUP05,35
PO0000341,2024-06-21,2024-07-13,SKU005,BOM_WH,SUP05,42
PO0000342,2024-06-28,2024-07-25,SKU005,BOM_WH,SUP05,36
PO0000343,2024-07-12,2024-08-09,SKU005,BOM_WH,SUP05,42
PO0000344,2024-07-19,2024-08-07,SKU005,BOM_WH,SUP05,25
PO0000345,2024-08-02,2024-08-22,SKU005,BOM_WH,SUP05,38
PO0000346,2024-09-06,2024-10-04,SKU005,BOM_WH,SUP05,40
PO0000347,2024-09-13,2024-10-02,SKU005,BOM_WH,SUP05,42
PO0000348,2024-09-20,2024-10-11,SKU005,BOM_WH,SUP05,42
PO0000349,2024-09-27,2024-10-17,SKU005,BOM_WH,SUP05,42
PO0000350,2024-11-08,2024-12-07,SKU005,BOM_WH,SUP05,27
PO0000351,2024-11-15,2024-12-04,SKU005,BOM_WH,SUP05,42
PO0000352,2024-11-22,2024-12-18,SKU005,BOM_WH,SUP05,42
PO0000353,2024-11-29,2024-12-19,SKU005,BOM_WH,SUP05,42
PO0000354,2024-12-06,2025-01-03,SKU005,BOM_WH,SUP05,42
PO0000355,2024-12-13,2025-01-01,SKU005,BOM_WH,SUP05,42
PO0000356,2024-12-27,2025-01-18,SKU005,BOM_WH,SUP05,42
PO0000357,2025-01-10,2025-02-01,SKU005,BOM_WH,SUP05,37
